n_templates,desc_EMPTY,desc_ACTIVE_PLAY,desc_MAINTENANCE_NON_SPORTING,play_recall,worst_fold,false_play,balanced
5,an unused artificial turf field,several people playing soccer on a floodlit pitch,a few people walking across an empty pitch,0.4385,0.0,0.0256,0.4129
5,an empty green sports field at night,several people playing soccer on a floodlit pitch,a few people walking across an empty pitch,0.4385,0.0,0.0256,0.4129
5,a vacant football field with no players,several people playing soccer on a floodlit pitch,a few people walking across an empty pitch,0.4385,0.0,0.0256,0.4129
3,a vacant football field with no players,a group of players competing in a soccer game,"a person standing on a pitch, not playing",0.4071,0.0,0.0,0.4071
3,an empty football pitch with nobody on it,a group of players competing in a soccer game,"a person standing on a pitch, not playing",0.4048,0.0,0.0,0.4048
5,a vacant football field with no players,a group of players competing in a soccer game,"a person standing on a pitch, not playing",0.3999,0.0,0.0,0.3999
5,an empty football pitch with nobody on it,a group of players competing in a soccer game,"a person standing on a pitch, not playing",0.3975,0.0,0.0,0.3975
3,an unused artificial turf field,a group of players competing in a soccer game,"a person standing on a pitch, not playing",0.3954,0.0,0.0,0.3954
5,an empty green sports field at night,a group of players competing in a soccer game,workers in high-visibility vests on a sports field,0.7174,0.2,0.3231,0.3943
5,an unused artificial turf field,a group of players competing in a soccer game,"a person standing on a pitch, not playing",0.3905,0.0,0.0,0.3905
5,an empty green sports field at night,footballers running on an artificial turf pitch,maintenance machinery on an artificial turf field,0.9119,0.4,0.5231,0.3889
1,"a deserted five-a-side pitch, no people",footballers running on an artificial turf pitch,a few people walking across an empty pitch,0.3883,0.0,0.0,0.3883
1,"a deserted five-a-side pitch, no people",several people playing soccer on a floodlit pitch,a few people walking across an empty pitch,0.3851,0.0,0.0,0.3851
3,an empty football pitch with nobody on it,people playing football on a pitch,"a person standing on a pitch, not playing",0.8397,0.5,0.4564,0.3832
3,an empty green sports field at night,a group of players competing in a soccer game,"a person standing on a pitch, not playing",0.3762,0.0,0.0,0.3762
3,an empty football pitch with nobody on it,a group of players competing in a soccer game,a few people walking across an empty pitch,0.3728,0.0984,0.0,0.3728
3,an unused artificial turf field,a group of players competing in a soccer game,a few people walking across an empty pitch,0.3728,0.0984,0.0,0.3728
3,a vacant football field with no players,a group of players competing in a soccer game,a few people walking across an empty pitch,0.3728,0.0984,0.0,0.3728
5,an empty football pitch with nobody on it,people playing football on a pitch,"a person standing on a pitch, not playing",0.8218,0.375,0.4513,0.3705
3,an empty green sports field at night,people playing football on a pitch,"a person standing on a pitch, not playing",0.8397,0.5,0.4718,0.3679
1,a vacant football field with no players,a group of players competing in a soccer game,"a person standing on a pitch, not playing",0.3666,0.0,0.0,0.3666
5,an empty green sports field at night,a group of players competing in a soccer game,"a person standing on a pitch, not playing",0.3666,0.0,0.0,0.3666
1,an unused artificial turf field,a five-a-side football match in progress,workers in high-visibility vests on a sports field,0.9953,0.9672,0.6308,0.3645
1,an unused artificial turf field,a five-a-side football match in progress,"a person standing on a pitch, not playing",0.9953,0.9672,0.6308,0.3645
1,an unused artificial turf field,a five-a-side football match in progress,maintenance machinery on an artificial turf field,0.9953,0.9672,0.6308,0.3645
1,an empty football pitch with nobody on it,a group of players competing in a soccer game,"a person standing on a pitch, not playing",0.3596,0.0,0.0,0.3596
1,an empty green sports field at night,footballers running on an artificial turf pitch,groundstaff maintaining a football pitch,0.8371,0.4,0.4821,0.355
5,an empty football pitch with nobody on it,people playing football on a pitch,a few people walking across an empty pitch,0.8063,0.5,0.4513,0.355
1,an unused artificial turf field,a five-a-side football match in progress,groundstaff maintaining a football pitch,0.9843,0.9231,0.6308,0.3536
1,an unused artificial turf field,a group of players competing in a soccer game,"a person standing on a pitch, not playing",0.3526,0.0,0.0,0.3526
1,an empty green sports field at night,a group of players competing in a soccer game,"a person standing on a pitch, not playing",0.3526,0.0,0.0,0.3526
3,a vacant football field with no players,people playing football on a pitch,"a person standing on a pitch, not playing",0.8443,0.5,0.4923,0.352
1,an unused artificial turf field,a five-a-side football match in progress,a few people walking across an empty pitch,0.982,0.9231,0.6308,0.3512
5,an empty green sports field at night,people playing football on a pitch,"a person standing on a pitch, not playing",0.8218,0.375,0.4718,0.35
3,an unused artificial turf field,a five-a-side football match in progress,groundstaff maintaining a football pitch,0.9953,0.9672,0.6462,0.3492
3,an unused artificial turf field,a five-a-side football match in progress,workers in high-visibility vests on a sports field,0.9953,0.9672,0.6462,0.3492
3,an unused artificial turf field,a five-a-side football match in progress,maintenance machinery on an artificial turf field,0.9953,0.9672,0.6462,0.3492
3,an unused artificial turf field,a five-a-side football match in progress,a few people walking across an empty pitch,0.993,0.9508,0.6462,0.3468
3,an empty green sports field at night,a group of players competing in a soccer game,a few people walking across an empty pitch,0.3442,0.0984,0.0,0.3442
5,a vacant football field with no players,footballers running on an artificial turf pitch,"a person standing on a pitch, not playing",0.8527,0.4,0.5128,0.3399
5,an empty green sports field at night,people playing football on a pitch,a few people walking across an empty pitch,0.8063,0.5,0.4667,0.3396
5,a vacant football field with no players,people playing football on a pitch,"a person standing on a pitch, not playing",0.8265,0.375,0.4974,0.329
3,"a deserted five-a-side pitch, no people",several people playing soccer on a floodlit pitch,maintenance machinery on an artificial turf field,0.3287,0.0,0.0,0.3287
5,"a deserted five-a-side pitch, no people",several people playing soccer on a floodlit pitch,maintenance machinery on an artificial turf field,0.3287,0.0,0.0,0.3287
3,an unused artificial turf field,a five-a-side football match in progress,"a person standing on a pitch, not playing",0.971,0.8462,0.6462,0.3248
3,"a deserted five-a-side pitch, no people",several people playing soccer on a floodlit pitch,workers in high-visibility vests on a sports field,0.324,0.0,0.0,0.324
5,"a deserted five-a-side pitch, no people",several people playing soccer on a floodlit pitch,workers in high-visibility vests on a sports field,0.324,0.0,0.0,0.324
3,"a deserted five-a-side pitch, no people",several people playing soccer on a floodlit pitch,"a person standing on a pitch, not playing",0.3177,0.0,0.0,0.3177
5,"a deserted five-a-side pitch, no people",several people playing soccer on a floodlit pitch,groundstaff maintaining a football pitch,0.3177,0.0,0.0,0.3177
3,"a deserted five-a-side pitch, no people",several people playing soccer on a floodlit pitch,groundstaff maintaining a football pitch,0.3153,0.0,0.0,0.3153
5,"a deserted five-a-side pitch, no people",several people playing soccer on a floodlit pitch,"a person standing on a pitch, not playing",0.3153,0.0,0.0,0.3153
5,a vacant football field with no players,people playing football on a pitch,a few people walking across an empty pitch,0.8063,0.5,0.4923,0.314
3,"a deserted five-a-side pitch, no people",several people playing soccer on a floodlit pitch,a few people walking across an empty pitch,0.306,0.0,0.0,0.306
5,"a deserted five-a-side pitch, no people",several people playing soccer on a floodlit pitch,a few people walking across an empty pitch,0.3036,0.0,0.0,0.3036
5,a vacant football field with no players,footballers running on an artificial turf pitch,workers in high-visibility vests on a sports field,1.0,1.0,0.6974,0.3026
1,a vacant football field with no players,people playing football on a pitch,a few people walking across an empty pitch,0.6809,0.125,0.3949,0.286
1,an empty football pitch with nobody on it,a five-a-side football match in progress,maintenance machinery on an artificial turf field,0.9977,0.9836,0.7179,0.2797
3,an empty green sports field at night,people playing football on a pitch,workers in high-visibility vests on a sports field,0.993,0.9508,0.7231,0.2699
5,a vacant football field with no players,footballers running on an artificial turf pitch,groundstaff maintaining a football pitch,0.9604,0.8,0.6923,0.2681
3,an empty green sports field at night,a group of players competing in a soccer game,workers in high-visibility vests on a sports field,0.7037,0.3846,0.4359,0.2678
5,a vacant football field with no players,footballers running on an artificial turf pitch,a few people walking across an empty pitch,0.7747,0.0,0.5333,0.2414
5,an empty green sports field at night,people playing football on a pitch,workers in high-visibility vests on a sports field,0.993,0.9508,0.759,0.234
1,an empty green sports field at night,people playing football on a pitch,a few people walking across an empty pitch,0.6785,0.125,0.4564,0.2221
3,a vacant football field with no players,footballers running on an artificial turf pitch,workers in high-visibility vests on a sports field,1.0,1.0,0.7795,0.2205
1,an empty football pitch with nobody on it,a five-a-side football match in progress,workers in high-visibility vests on a sports field,0.9977,0.9836,0.7795,0.2182
1,an empty football pitch with nobody on it,a five-a-side football match in progress,"a person standing on a pitch, not playing",0.9977,0.9836,0.7795,0.2182
5,an unused artificial turf field,a five-a-side football match in progress,groundstaff maintaining a football pitch,0.9953,0.9672,0.7795,0.2158
5,an unused artificial turf field,a five-a-side football match in progress,workers in high-visibility vests on a sports field,0.9953,0.9672,0.7795,0.2158
5,an unused artificial turf field,a five-a-side football match in progress,maintenance machinery on an artificial turf field,0.9953,0.9672,0.7795,0.2158
1,an empty football pitch with nobody on it,a five-a-side football match in progress,groundstaff maintaining a football pitch,0.9867,0.9231,0.7795,0.2072
1,an empty football pitch with nobody on it,a five-a-side football match in progress,a few people walking across an empty pitch,0.9843,0.9231,0.7795,0.2048
5,an unused artificial turf field,a five-a-side football match in progress,a few people walking across an empty pitch,0.982,0.9231,0.7795,0.2025
5,an unused artificial turf field,a five-a-side football match in progress,"a person standing on a pitch, not playing",0.9733,0.8462,0.7795,0.1939
3,a vacant football field with no players,footballers running on an artificial turf pitch,groundstaff maintaining a football pitch,0.9604,0.8,0.7744,0.1861
3,"a deserted five-a-side pitch, no people",a group of players competing in a soccer game,maintenance machinery on an artificial turf field,0.1836,0.0,0.0,0.1836
5,"a deserted five-a-side pitch, no people",a group of players competing in a soccer game,maintenance machinery on an artificial turf field,0.1836,0.0,0.0,0.1836
3,"a deserted five-a-side pitch, no people",a group of players competing in a soccer game,groundstaff maintaining a football pitch,0.1813,0.0,0.0,0.1813
5,"a deserted five-a-side pitch, no people",a group of players competing in a soccer game,groundstaff maintaining a football pitch,0.1813,0.0,0.0,0.1813
5,"a deserted five-a-side pitch, no people",a group of players competing in a soccer game,workers in high-visibility vests on a sports field,0.1813,0.0,0.0,0.1813
3,"a deserted five-a-side pitch, no people",a group of players competing in a soccer game,workers in high-visibility vests on a sports field,0.179,0.0,0.0,0.179
1,a vacant football field with no players,people playing football on a pitch,workers in high-visibility vests on a sports field,1.0,1.0,0.8256,0.1744
5,an empty football pitch with nobody on it,a group of players competing in a soccer game,a few people walking across an empty pitch,0.1735,0.0,0.0,0.1735
5,an unused artificial turf field,a group of players competing in a soccer game,a few people walking across an empty pitch,0.1735,0.0,0.0,0.1735
5,an empty green sports field at night,a group of players competing in a soccer game,a few people walking across an empty pitch,0.1735,0.0,0.0,0.1735
5,a vacant football field with no players,a group of players competing in a soccer game,a few people walking across an empty pitch,0.1735,0.0,0.0,0.1735
5,an empty green sports field at night,footballers running on an artificial turf pitch,a few people walking across an empty pitch,0.7724,0.0,0.6,0.1724
5,"a deserted five-a-side pitch, no people",a group of players competing in a soccer game,"a person standing on a pitch, not playing",0.1703,0.0,0.0,0.1703
1,"a deserted five-a-side pitch, no people",a group of players competing in a soccer game,groundstaff maintaining a football pitch,0.1607,0.0,0.0,0.1607
1,"a deserted five-a-side pitch, no people",a group of players competing in a soccer game,workers in high-visibility vests on a sports field,0.1607,0.0,0.0,0.1607
1,"a deserted five-a-side pitch, no people",a group of players competing in a soccer game,maintenance machinery on an artificial turf field,0.1607,0.0,0.0,0.1607
3,"a deserted five-a-side pitch, no people",a group of players competing in a soccer game,"a person standing on a pitch, not playing",0.1593,0.0,0.0,0.1593
1,an empty green sports field at night,footballers running on an artificial turf pitch,"a person standing on a pitch, not playing",0.8305,0.2,0.6718,0.1587
1,"a deserted five-a-side pitch, no people",a group of players competing in a soccer game,"a person standing on a pitch, not playing",0.1498,0.0,0.0,0.1498
3,a vacant football field with no players,footballers running on an artificial turf pitch,"a person standing on a pitch, not playing",0.8242,0.2,0.6769,0.1473
3,"a deserted five-a-side pitch, no people",a group of players competing in a soccer game,a few people walking across an empty pitch,0.1388,0.0,0.0,0.1388
5,"a deserted five-a-side pitch, no people",a group of players competing in a soccer game,a few people walking across an empty pitch,0.1079,0.0,0.0,0.1079
1,an empty football pitch with nobody on it,a group of players competing in a soccer game,a few people walking across an empty pitch,0.0873,0.0,0.0,0.0873
1,"a deserted five-a-side pitch, no people",a group of players competing in a soccer game,a few people walking across an empty pitch,0.0873,0.0,0.0,0.0873
1,an unused artificial turf field,a group of players competing in a soccer game,a few people walking across an empty pitch,0.0873,0.0,0.0,0.0873
1,an empty green sports field at night,a group of players competing in a soccer game,a few people walking across an empty pitch,0.0873,0.0,0.0,0.0873
1,a vacant football field with no players,a group of players competing in a soccer game,a few people walking across an empty pitch,0.0873,0.0,0.0,0.0873
3,an empty football pitch with nobody on it,a five-a-side football match in progress,maintenance machinery on an artificial turf field,1.0,1.0,0.9231,0.0769
3,a vacant football field with no players,a five-a-side football match in progress,maintenance machinery on an artificial turf field,1.0,1.0,0.9282,0.0718
3,an empty green sports field at night,a five-a-side football match in progress,maintenance machinery on an artificial turf field,0.9977,0.9836,0.9282,0.0695
1,a vacant football field with no players,a five-a-side football match in progress,maintenance machinery on an artificial turf field,1.0,1.0,0.9385,0.0615
1,an empty green sports field at night,a five-a-side football match in progress,maintenance machinery on an artificial turf field,0.9953,0.9672,0.9385,0.0569
1,an empty green sports field at night,footballers running on an artificial turf pitch,workers in high-visibility vests on a sports field,0.9096,0.4,0.8564,0.0532
5,an empty green sports field at night,footballers running on an artificial turf pitch,"a person standing on a pitch, not playing",0.8504,0.4,0.8,0.0504
3,a vacant football field with no players,footballers running on an artificial turf pitch,a few people walking across an empty pitch,0.7985,0.0,0.759,0.0396
3,a vacant football field with no players,people playing football on a pitch,workers in high-visibility vests on a sports field,1.0,1.0,0.9846,0.0154
3,an empty football pitch with nobody on it,a five-a-side football match in progress,groundstaff maintaining a football pitch,1.0,1.0,0.9949,0.0051
3,an empty football pitch with nobody on it,a five-a-side football match in progress,workers in high-visibility vests on a sports field,1.0,1.0,0.9949,0.0051
5,an empty football pitch with nobody on it,a five-a-side football match in progress,groundstaff maintaining a football pitch,1.0,1.0,0.9949,0.0051
5,an empty football pitch with nobody on it,a five-a-side football match in progress,workers in high-visibility vests on a sports field,1.0,1.0,0.9949,0.0051
5,an empty football pitch with nobody on it,a five-a-side football match in progress,maintenance machinery on an artificial turf field,1.0,1.0,0.9949,0.0051
3,an empty football pitch with nobody on it,a five-a-side football match in progress,a few people walking across an empty pitch,0.9977,0.9836,0.9949,0.0028
1,a vacant football field with no players,a five-a-side football match in progress,workers in high-visibility vests on a sports field,1.0,1.0,1.0,0.0
1,a vacant football field with no players,a five-a-side football match in progress,"a person standing on a pitch, not playing",1.0,1.0,1.0,0.0
3,a vacant football field with no players,a five-a-side football match in progress,groundstaff maintaining a football pitch,1.0,1.0,1.0,0.0
3,a vacant football field with no players,a five-a-side football match in progress,workers in high-visibility vests on a sports field,1.0,1.0,1.0,0.0
5,a vacant football field with no players,people playing football on a pitch,workers in high-visibility vests on a sports field,1.0,1.0,1.0,0.0
5,a vacant football field with no players,a five-a-side football match in progress,groundstaff maintaining a football pitch,1.0,1.0,1.0,0.0
5,a vacant football field with no players,a five-a-side football match in progress,workers in high-visibility vests on a sports field,1.0,1.0,1.0,0.0
5,a vacant football field with no players,a five-a-side football match in progress,maintenance machinery on an artificial turf field,1.0,1.0,1.0,0.0
3,an empty green sports field at night,a five-a-side football match in progress,groundstaff maintaining a football pitch,0.9977,0.9836,1.0,-0.0023
3,an empty green sports field at night,a five-a-side football match in progress,workers in high-visibility vests on a sports field,0.9977,0.9836,1.0,-0.0023
3,a vacant football field with no players,a five-a-side football match in progress,a few people walking across an empty pitch,0.9977,0.9836,1.0,-0.0023
5,an empty green sports field at night,a five-a-side football match in progress,groundstaff maintaining a football pitch,0.9977,0.9836,1.0,-0.0023
5,an empty green sports field at night,a five-a-side football match in progress,workers in high-visibility vests on a sports field,0.9977,0.9836,1.0,-0.0023
5,an empty green sports field at night,a five-a-side football match in progress,maintenance machinery on an artificial turf field,0.9977,0.9836,1.0,-0.0023
1,an empty green sports field at night,a five-a-side football match in progress,workers in high-visibility vests on a sports field,0.9953,0.9672,1.0,-0.0047
1,an empty green sports field at night,a five-a-side football match in progress,"a person standing on a pitch, not playing",0.9953,0.9672,1.0,-0.0047
3,an empty green sports field at night,a five-a-side football match in progress,a few people walking across an empty pitch,0.9953,0.9672,1.0,-0.0047
5,an empty football pitch with nobody on it,a five-a-side football match in progress,a few people walking across an empty pitch,0.9867,0.9231,0.9949,-0.0082
1,a vacant football field with no players,a five-a-side football match in progress,groundstaff maintaining a football pitch,0.989,0.9231,1.0,-0.011
1,a vacant football field with no players,a five-a-side football match in progress,a few people walking across an empty pitch,0.9867,0.9231,1.0,-0.0133
5,a vacant football field with no players,a five-a-side football match in progress,a few people walking across an empty pitch,0.9867,0.9231,1.0,-0.0133
1,an empty green sports field at night,a five-a-side football match in progress,groundstaff maintaining a football pitch,0.9843,0.9231,1.0,-0.0157
5,an empty green sports field at night,a five-a-side football match in progress,a few people walking across an empty pitch,0.9843,0.9231,1.0,-0.0157
5,an empty football pitch with nobody on it,a five-a-side football match in progress,"a person standing on a pitch, not playing",0.978,0.8462,0.9949,-0.0168
1,an empty green sports field at night,a five-a-side football match in progress,a few people walking across an empty pitch,0.982,0.9231,1.0,-0.018
3,an empty football pitch with nobody on it,a five-a-side football match in progress,"a person standing on a pitch, not playing",0.9757,0.8462,0.9949,-0.0192
5,a vacant football field with no players,a five-a-side football match in progress,"a person standing on a pitch, not playing",0.978,0.8462,1.0,-0.022
3,a vacant football field with no players,a five-a-side football match in progress,"a person standing on a pitch, not playing",0.9757,0.8462,1.0,-0.0243
5,an empty green sports field at night,a five-a-side football match in progress,"a person standing on a pitch, not playing",0.9757,0.8462,1.0,-0.0243
3,an empty green sports field at night,a five-a-side football match in progress,"a person standing on a pitch, not playing",0.9733,0.8462,1.0,-0.0267
3,an empty green sports field at night,footballers running on an artificial turf pitch,"a person standing on a pitch, not playing",0.8218,0.2,0.8769,-0.0551
3,an empty green sports field at night,footballers running on an artificial turf pitch,workers in high-visibility vests on a sports field,0.9119,0.4,0.9744,-0.0624
5,an empty green sports field at night,footballers running on an artificial turf pitch,workers in high-visibility vests on a sports field,0.9119,0.4,0.9744,-0.0624
5,an empty green sports field at night,footballers running on an artificial turf pitch,groundstaff maintaining a football pitch,0.901,0.4,0.9692,-0.0683
3,an empty green sports field at night,footballers running on an artificial turf pitch,groundstaff maintaining a football pitch,0.901,0.4,0.9744,-0.0734
3,an empty green sports field at night,footballers running on an artificial turf pitch,a few people walking across an empty pitch,0.7962,0.0,0.9385,-0.1423
